 
 ~~~~~~~~~~~~~~~~~~~ ÖðÕíÈ«Æ«²î ~~~~~~~~~~~~~~~~~~~~
         Àï³Ì/m  µ÷Ç°¸ß³Ì/mm  µ÷Ç°Æ½Ãæ/mm  µ÷Ç°Ë®Æ½/mm  µ÷Ç°¹ì¾à/mm  µ¼Ïò¹ì  µ÷×ó¹ì¸ß/mm  µ÷ÓÒ¹ì¸ß/mm  µ÷×óÆ½Ãæ/mm  µ÷ÓÒÆ½Ãæ/mm   µ÷ºó¸ß³Ì/mm  µ÷ºóÆ½Ãæ/mm  µ÷ºóË®Æ½/mm  µ÷ºó¹ì¾à/mm  Éè¼Æ³¬¸ß/mm
      1926.582       -3.636        3.141        -.600        -.130     ×ó          1.236        1.836        2.181        2.311       -2.401         .960           0.           0.         .000
      1927.182       -3.447        2.843        -.600        -.600     ×ó          1.022        1.622        1.878        2.478       -2.425         .964           0.           0.         .000
      1927.782       -3.278        2.683        -.500        -.800     ×ó           .829        1.329        1.714        2.514       -2.449         .969           0.           0.         .000
      1928.382       -2.918        2.499        -.495        -.595     ×ó           .445         .940        1.526        2.120       -2.473         .974           0.           0.         .000
      1928.983       -2.561        2.020        -.400        -.315     ×ó           .064         .464        1.042        1.356       -2.497         .978           0.           0.         .000
      1929.583       -2.077        1.631        -.400        -.565     ×ó          -.445        -.045         .648        1.213       -2.521         .983           0.           0.         .000
      1930.183       -1.961        1.216        -.400        -.800     ×ó          -.584        -.184         .229        1.029       -2.545         .987           0.           0.         .000
      1930.783       -2.199         .890        -.300        -.575     ×ó          -.370        -.070        -.102         .472       -2.569         .992           0.           0.         .000
      1931.383       -2.457         .569        -.400         .111     ×ó          -.137         .263        -.432        -.543       -2.593        1.001           0.           0.         .000
      1931.984       -2.801         .245        -.500         .971     ×ó           .183         .683        -.773       -1.744       -2.618        1.017           0.           0.         .000
      1932.584       -2.890         .306        -.500        1.200     ×ó           .249         .749        -.728       -1.928       -2.642        1.034           0.           0.         .000
      1933.184       -2.776         .614        -.500        1.255     ×ó           .111         .611        -.437       -1.692       -2.666        1.051           0.           0.         .000
      1933.784       -2.552        1.040        -.425        1.300     ×ó          -.137         .288        -.028       -1.328       -2.690        1.068           0.           0.         .000
      1934.384       -2.762        1.169        -.700         .811     ×ó           .048         .748         .085        -.726       -2.714        1.085           0.           0.         .000
      1934.985       -3.336         .754       -1.000         .700     ×ó           .598        1.598        -.347       -1.047       -2.738        1.101           0.           0.         .000
      1935.585       -3.569         .687       -1.200         .300     ×ó           .807        2.007        -.431        -.731       -2.762        1.118           0.           0.         .000
      1936.185       -3.725        1.145        -.954         .100     ×ó           .938        1.893         .011        -.089       -2.786        1.135           0.           0.         .000
      1936.785       -3.689        2.001        -.474         .200     ×ó           .879        1.353         .849         .649       -2.810        1.152           0.           0.         .000
